"Rk","Player","Nation","Pos","Competition","Squad","Age","Born","noventas","Gls","Sh","SoT","SoT%","Sh_noventa","SoT_noventa","G_Sh","G_SoT","Dist","FK","PK","PKatt","xG","npxG","npxG_Sh","G_xG","npG-xG","Pos_main","Pos_secondary"
1221,"Ansgar Knauff","GER","FWMF","Bundesliga","Dortmund",19,2002,1.3,0,1,0,"0.0","0.79","0.00",0,NA,17,0,0,0,0.1,0.1,0.09,-0.1,"-0.1","FW","MF"
630,"Ansu Fati","ESP","FW","La Liga","Barcelona",19,2002,2.4,3,13,6,"46.2","5.49","2.54",0.23,"0.50",16.7,1,0,0,1,1,0.08,2,"+2.0","FW",""
551,"Ante Budimir","CRO","FW","La Liga","Osasuna",30,1991,3.4,1,2,0,"0.0","0.59","0.00",0,NA,14.8,0,1,1,1,0.4,0.2,0,"-0.4","FW",""
1833,"Ante Rebic","CRO","FW","Serie A","Milan",28,1993,5.6,1,16,1,"6.3","2.88","0.18",0.06,"1.00",14.3,0,0,0,1.2,1.2,0.08,-0.2,"-0.2","FW",""
2049,"Anthony Caci","FRA","DF","Ligue 1","Strasbourg",24,1997,13.7,0,6,1,"16.7","0.44","0.07",0,"0.00",18.3,0,0,0,0.4,0.4,0.07,-0.4,"-0.4","DF",""
120,"Anthony Elanga","SWE","FW","Premier League","Manchester Utd",19,2002,0.2,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","FW",""
163,"Anthony Gordon","ENG","MFFW","Premier League","Everton",20,2001,7.8,0,11,3,"27.3","1.41","0.39",0,"0.00",13.8,0,0,0,1.2,1.2,0.1,-1.2,"-1.2","MF","FW"
2270,"Anthony Lopes","POR","GK","Ligue 1","Lyon",31,1990,16.8,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1249,"Anthony Losilla","FRA","MF","Bundesliga","Bochum",35,1986,16.6,1,19,6,"31.6","1.14","0.36",0.05,"0.17",20,0,0,0,1,1,0.05,0,"0.0","MF",""
758,"Anthony Lozano","HON","FWMF","La Liga","Cádiz",28,1993,10.7,5,31,10,"32.3","2.91","0.94",0.16,"0.50",16,0,0,0,2.9,2.9,0.09,2.1,"+2.1","FW","MF"
267,"Anthony Martial","FRA","FW","Premier League","Manchester Utd",26,1995,2.3,1,4,2,"50.0","1.77","0.89",0.25,"0.50",11.8,0,0,0,0.4,0.4,0.09,0.6,"+0.6","FW",""
1277,"Anthony Modeste","FRA","FW","Bundesliga","Köln",33,1988,15,11,67,25,"37.3","4.47","1.67",0.16,"0.44",11.2,0,0,0,9.8,9.8,0.15,1.2,"+1.2","FW",""
676,"Antoine Griezmann","FRA","FWMF","La Liga","Atlético Madrid",30,1991,9.7,3,27,9,"33.3","2.77","0.92",0.11,"0.33",15.1,1,0,0,2.4,2.4,0.09,0.6,"+0.6","FW","MF"
1401,"Anton Stach","GER","MF","Bundesliga","Mainz 05",23,1998,6.6,1,10,3,"30.0","1.52","0.46",0.1,"0.33",28.3,2,0,0,0.3,0.3,0.03,0.7,"+0.7","MF",""
1490,"Antonín Barák","CZE","FWMF","Serie A","Hellas Verona",27,1994,14.6,5,28,14,"50.0","1.92","0.96",0.07,"0.14",16.3,2,3,3,5.6,3.3,0.12,-0.6,"-1.3","FW","MF"
